,Date,Route,SailingTime,Vessel,ScheduledDeparture,ActualDeparture,ETA(Arrival.Time),Status,24HourDeparture,Traffic,WindSpeed_kph,Delay,Temperature
104,220,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,7:25 AM,7:26 AM,8:08 AM,On Time,725,1,4,1,13
105,221,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,9:40 AM,9:40 AM,10:23 AM,On Time,940,1,7,0,15
106,222,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,12:00 PM,12:03 PM,...,On Time,1200,1,4,3,15
107,223,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Coquitlam,1:35 PM,1:41 PM,2:21 PM,On Time,1335,1,5,6,16
108,224,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,2:15 PM,2:15 PM,2:58 PM,On Time,1415,1,2,0,16
109,225,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Coquitlam,3:45 PM,3:48 PM,4:26 PM,On Time,1545,1,3,3,16
110,226,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,4:30 PM,4:30 PM,5:11 PM,On Time,1630,1,1,0,15
111,227,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Coquitlam,5:50 PM,5:49 PM,6:31 PM,On Time,1750,1,0,-1,15
112,228,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,6:35 PM,6:37 PM,7:19 PM,On Time,1835,2,0,2,14
113,229,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,8:40 PM,8:38 PM,9:21 PM,On Time,2040,3,4,-2,12
114,230,2016-09-01,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,10:35 PM,10:37 PM,11:17 PM,On Time,2235,3,6,2,11
115,231,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,6:20 AM,6:20 AM,7:03 AM,On Time,620,1,3,0,12
116,232,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,8:30 AM,8:32 AM,9:13 AM,On Time,830,1,4,2,15
117,233,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,10:50 AM,10:53 AM,11:33 AM,On Time,1050,1,2,3,15
118,234,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Coquitlam,12:30 PM,12:29 PM,1:11 PM,On Time,1230,1,4,-1,15
119,235,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,1:05 PM,1:10 PM,1:55 PM,On Time,1305,1,5,5,16
120,236,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Coquitlam,2:40 PM,2:44 PM,3:27 PM,On Time,1440,1,2,4,16
121,237,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,3:25 PM,3:24 PM,4:07 PM,On Time,1525,2,3,-1,16
122,238,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Coquitlam,4:45 PM,4:48 PM,5:27 PM,On Time,1645,1,1,3,15
123,239,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,5:30 PM,5:29 PM,6:09 PM,On Time,1730,2,0,-1,15
124,240,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,7:35 PM,7:35 PM,8:15 PM,On Time,1935,3,1,0,13
125,241,2016-09-01,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,9:40 PM,9:39 PM,10:19 PM,On Time,2140,2,6,-1,11
126,242,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of British Columbia,7:00 AM,7:04 AM,8:35 AM,On Time,700,1,5,4,12
127,243,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Queen of New Westminster,8:00 AM,8:03 AM,9:35 AM,On Time,800,1,4,3,12
128,244,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,9:00 AM,9:03 AM,10:33 AM,On Time,900,1,2,3,12
129,245,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,10:00 AM,10:04 AM,11:33 AM,On Time,1000,1,1,4,12
130,246,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of British Columbia,11:00 AM,11:02 AM,12:37 PM,On Time,1100,1,2,2,13
131,247,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Queen of New Westminster,12:00 PM,12:02 PM,1:33 PM,On Time,1200,1,2,2,14
132,248,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,1:00 PM,1:03 PM,2:37 PM,On Time,1300,1,2,3,15
133,249,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,2:00 PM,2:03 PM,3:37 PM,On Time,1400,1,2,3,16
134,250,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of British Columbia,3:00 PM,3:07 PM,4:39 PM,On Time,1500,1,3,7,17
135,251,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Queen of New Westminster,4:00 PM,4:09 PM,5:37 PM,On Time,1600,1,2,9,17
136,252,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,5:00 PM,5:05 PM,6:43 PM,On Time,1700,3,1,5,15
137,253,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,6:00 PM,6:08 PM,7:35 PM,On Time,1800,2,1,8,14
138,254,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of British Columbia,7:00 PM,7:04 PM,8:39 PM,On Time,1900,2,1,4,13
139,255,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Queen of New Westminster,8:00 PM,8:04 PM,9:33 PM,On Time,2000,2,5,4,12
140,256,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,9:00 PM,9:03 PM,10:33 PM,On Time,2100,2,5,3,11
141,257,2016-09-02,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,10:00 PM,10:01 PM,11:27 PM,On Time,2200,3,3,1,12
142,258,2016-09-02,Tsawwassen to Southern Gulf Islands,Variable,Queen of Nanaimo,10:20 AM,10:23 AM,...,On Time,1020,1,1,3,12
143,259,2016-09-02,Tsawwassen to Southern Gulf Islands,Variable,Bowen Queen,2:00 PM,1:59 PM,3:39 PM,On Time,1400,1,2,-1,16
144,260,2016-09-02,Tsawwassen to Southern Gulf Islands,Variable,Queen of Nanaimo,4:25 PM,4:35 PM,...,Traffic delays,1625,1,2,10,17
145,261,2016-09-02,Tsawwassen to Southern Gulf Islands,Variable,Bowen Queen,6:25 PM,6:23 PM,...,On Time,1825,1,1,-2,14
146,262,2016-09-02,Tsawwassen to Southern Gulf Islands,Variable,Queen of Nanaimo,8:25 PM,8:26 PM,...,On Time,2025,3,5,1,12
